epoch,loss,accuracy,configuration,z_hidden_0,a_hidden_0,z_hidden_1,a_hidden_1,z_hidden_2,a_hidden_2
16,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9864211958172906,0.2716195377494397,-0.22135462946551077,0.44488619732848933,0.3614077524939726,0.589381168474116
17,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9890147942530906,0.2711067181469073,-0.22173077470686584,0.44479330549789053,0.36138874443632074,0.5893765683071325
18,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9915593791016313,0.27060418113434503,-0.2220956742344389,0.4447031945654328,0.3613690976318599,0.5893718135397013
19,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9940562986729351,0.270111627628259,-0.2224498832403135,0.4446157271059447,0.3613487023398219,0.5893668776114404
20,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9965068496979698,0.2696287704798799,-0.22279393044501547,0.44453077226088505,0.3613274569883341,0.5893617359385062
21,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-0.9989122796773442,0.26915533390638785,-0.22312831948114067,0.4444482053940637,0.36130526756967496,0.5893563657672364
22,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-1.0012737891202157,0.26869105295078927,-0.22345353020025,0.44436790776654606,0.3612820470827415,0.5893507460392164
23,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-1.0035925336773837,0.26823567296917245,-0.22377001990714787,0.44428976622969996,0.36125771501893733,0.5893448572668525
24,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-1.0058696261726425,0.2677889491440854,-0.22407822452550308,0.4442136729353917,0.36123219688799174,0.5893386814186061
25,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-1.0081061385365175,0.26735064602279834,-0.22437855969860476,0.44413952506237453,0.3612054237804973,0.5893322018131146
26,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-1.0103031036464993,0.2669205370792463,-0.2246714218288783,0.4440672245579589,0.361177331964215,0.589325403021483
27,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-1.0124615170778641,0.26649840429847843,-0.22495718905961473,0.44399667789409797,0.3611478625114313,0.5893182707770906
28,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-1.0145823387690966,0.26608403778248296,-0.22523622220219816,0.4439277958370636,0.3611169609548758,0.5893107918923108
29,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-1.0166664946058566,0.26567723537629345,-0.2255088656119486,0.4438604932299313,0.36108457696990814,0.5893029541815872
30,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-1.018714877927314,0.26527780231332904,-0.22577544801553412,0.4437946887871326,0.3610506640808722,0.5892947463903593
31,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-1.0207283509585767,0.2648855508789629,-0.22603628329274766,0.443730304900377,0.36101517938968647,0.5892861581293719
32,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-1.022707746172795,0.26450030009135794,-0.22629167121529026,0.44366726745528035,0.3609780833248988,0.5892771798139358
33,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-1.0246538675864116,0.26412187539865223,-0.2265418981450548,0.4436055056580764,0.3609393394095782,0.589267802607749
34,2.1716743680724964,0.125,sigmoid_softmax_cross_entropy,-1.0265674919908774,0.26375010839162244,-0.22678723769426365,0.4435449518718226,0.3608989140465505,0.5892580183709162
