id,scientific_name,common_name,iconic_taxon_name
1318,Crinocheta,,Animalia
1319,Crinum,Swamplilies,Plantae
1320,Crithagra atrogularis,Black-throated Canary,Aves
1321,Crithagra citrinipectus,Lemon-breasted Seedeater,Aves
1322,Crithagra gularis,Streaky-headed Seedeater,Aves
1323,Crithagra mennelli,Black-eared Seedeater,Aves
1324,Crithagra mozambica,Yellow-fronted Canary,Aves
1325,Crithagra mozambica granti,Grant's Yellow-fronted Canary,Aves
1326,Crithagra sulphurata sulphurata,Cape Brimstone Canary,Aves
1327,Crithagra sulphurata wilsoni,Eastern Brimstone Canary,Aves
1328,Crocodylus acutus,American Crocodile,Reptilia
1329,Crocodylus niloticus,Nile Crocodile,Reptilia
1330,Crocodylus niloticus africanus,East African Crocodile,Reptilia
1331,Crocodylus niloticus cowiei,Southern African Crocodile,Reptilia
1332,Crocodylus palustris,Mugger Crocodile,Reptilia
1333,Crocuta crocuta,Spotted Hyena,Mammalia
1334,Crossopriza lyoni,Tailed Cellar Spider,Arachnida
1335,Crotalaria capensis,Cape Rattlepod,Plantae
1336,Crotalaria micans,Caracas Rattlebox,Plantae
1337,Crotalaria natalensis,,Plantae
1338,Crotalaria ochroleuca,slender leaf rattlebox,Plantae
1339,Crotalus atrox,Western Diamond-backed Rattlesnake,Reptilia
1340,Crotalus cerastes,Sidewinder,Reptilia
1341,Crotalus oreganus oreganus,Northern Pacific Rattlesnake,Reptilia
1342,Croton,Crotons,Plantae
1343,Croton pseudopulchellus,Lesser Lavender Croton,Plantae
1344,Croton sylvaticus,forest fever-berry,Plantae
1345,Crotophaga sulcirostris,Groove-billed Ani,Aves
1346,Crustacea,Crustaceans,Animalia
1347,Cryptachaea veruculata,Diamond Comb-footed Spider,Arachnida
1348,Cryptocephalus,,Insecta
1349,Cryptocephalus violaceus,,Insecta
1350,Cryptochiton stelleri,Gumboot Chiton,Mollusca
1351,Cryptococcus fagisuga,Beech Scale,Insecta
1352,Cryptophyllium,,Insecta
1353,Cryptops,Cave Centipedes,Animalia
1354,Cryptotis parvus,North American Least Shrew,Mammalia
1355,Ctenarytaina melanota,Umdoni Aphalarid,Insecta
1356,Ctenosaura pectinata,Western Spiny-tailed Iguana,Reptilia
1357,Cubophis caymanus,Grand Cayman Racer,Reptilia
1358,Cucujiformia,Cucujiform Beetles,Insecta
1359,Cucullia calendulae,,Insecta
1360,Cucullia chamomillae,Chamomile Shark,Insecta
1361,Cucullia scrophulariae,Water Betony,Insecta
1362,Cucullia verbasci,Mullein Moth,Insecta
1363,Cuculus clamosus,Black Cuckoo,Aves
1364,Cuculus micropterus,Indian Cuckoo,Aves
1365,Cuculus saturatus,Himalayan Cuckoo,Aves
1366,Cuculus solitarius,Red-chested Cuckoo,Aves
1367,Cucumaria miniata,Orange Sea Cucumber,Animalia
1368,Cuerna costalis,Lateral-lined Sharpshooter,Insecta
1369,Culex,,Insecta
1370,Culex territans,Northern Frog-biting Mosquito,Insecta
1371,Culicidae,Mosquitoes,Insecta
1372,Culicomorpha,Mosquitoes and Midges,Insecta
1373,Cuon alpinus,Dhole,Mammalia
1374,Cuon alpinus alpinus,Northern Dhole,Mammalia
1375,Cupido comyntas,Eastern Tailed-Blue,Insecta
1376,Curculionoidea,Snout and Bark Beetles,Insecta
1377,Curruca melanocephala,Sardinian Warbler,Aves
1378,Cuscuta,dodders,Plantae
1379,Cuspicona simplex,Green potato bug,Insecta
1380,Cuterebrinae,Robust Bot Flies,Insecta
1381,Cyana pretoriae,Pretoria Red Lines,Insecta
1382,Cyaniris semiargus,Mazarine Blue,Insecta
1383,Cyanistes caeruleus,Eurasian Blue Tit,Aves
1384,Cyanocitta stelleri,Steller's Jay,Aves
1385,Cyanomitra olivacea,Olive Sunbird,Aves
1386,Cyanomitra olivacea sclateri,Tuftless Olive Sunbird,Aves
1387,Cyanopica cooki,Iberian Magpie,Aves
1388,Cyanopica cyanus swinhoei,,Aves
1389,Cybaeus,Soft Spiders,Arachnida
1390,Cyclophyllidea,,Animalia
1391,Cycloplasis panicifoliella,,Insecta
1392,Cycnia collaris,Unexpected Cycnia Moth,Insecta
1393,Cydalima perspectalis,Box Tree Moth,Insecta
1394,Cygnus olor,Mute Swan,Aves
1395,Cyligramma latona,Creamstriped Owl,Insecta
1396,Cylindroiulus caeruleocinctus,,Animalia
1397,Cylindromyia intermedia,,Insecta
1398,Cylindrophis jodiae,Jodi's pipe snake,Reptilia
1399,Cymatogaster aggregata,Shiner Surfperch,Actinopterygii
1400,Cymatomera,Bark Katydids,Insecta
1401,Cymbalaria muralis,Ivy-leaved toadflax,Plantae
1402,Cymopterus lemmonii,Alpine False Springparsley,Plantae
1403,Cynanchum ellipticum,Monkeyrope Buckhorn,Plantae
1404,Cynanchum laeve,honey-vine climbing milkweed,Plantae
1405,Cynanchum natalitium,Natal Buckhorn,Plantae
1406,Cynanchum viminale,Caustic Vine,Plantae
1407,Cynipoidea,Gall Wasps and Allies,Insecta
1408,Cynomorium coccineum,Red Thumb,Plantae
1409,Cynomys ludovicianus,Black-tailed Prairie Dog,Mammalia
1410,Cynoscion nebulosus,Spotted Seatrout,Actinopterygii
1411,Cyornis glaucicomans,Chinese Blue Flycatcher,Aves
1412,Cyperaceae,sedges,Plantae
1413,Cyperus articulatus,Jointed Flatsedge,Plantae
1414,Cyperus niveus leucocephalus,White Bluntflower Sedge,Plantae
1415,Cyperus polystachyos polystachyos,Manyspike Flatsedge,Plantae
1416,Cyperus solidus,,Plantae
1417,Cyphostemma,Wild Grapes,Plantae
1418,Cyphostemma cirrhosum,Pucker Grape,Plantae
1419,Cyphostemma princeae,,Plantae
1420,Cyprinidae,Cyprinids,Actinopterygii
1421,Cypriniformes,"Minnows, Suckers, Carps, and Loaches",Actinopterygii
1422,Cyprininae,Typical Carps,Actinopterygii
1423,Cyprinoidei,Carps and Minnows,Actinopterygii
1424,Cyprinus carpio,European Carp,Actinopterygii
1425,Cyrestis cocles,Marbled Map,Insecta
1426,Cyrtacanthacridinae,Bird Grasshoppers,Insecta
1427,Cyrtophora citricola,Tropical Tent-web Spider,Arachnida
1428,Cyrtophora moluccensis,Dome Web Spider,Arachnida
1429,Cyrtopogon,,Insecta
1430,Cyrtopogon centralis,,Insecta
1431,Cyrtoxipha,Green Trigs,Insecta
1432,Cystotheca mexicana,,Fungi
1433,Dactylopius opuntiae,Cactus Scattered Cochineal,Insecta
1434,Dais cotinifolia,Pompom Tree,Plantae
1435,Daktulosphaira vitifoliae,Grape Phylloxera,Insecta
1436,Dalbergia armata,Hluhluwe Creeper,Plantae
1437,Dalbergia obovata,Climbing Flatbean,Plantae
1438,Dalea purpurea,purple prairie clover,Plantae
1439,Damaliscus lunatus lunatus,Common Tsessebe,Mammalia
1440,Danaus affinis,Swamp Tiger Butterfly,Insecta
1441,Danaus chrysippus,Plain Tiger Butterfly,Insecta
1442,Danaus chrysippus orientis,African Monarch,Insecta
1443,Danaus genutia,Common Tiger Butterfly,Insecta
1444,Danaus gilippus,Queen,Insecta
1445,Danaus melanippus,White Tiger Butterfly,Insecta
1446,Danaus plexippus,Monarch,Insecta
1447,Daption capense,Pintado Petrel,Aves
1448,Dargida diffusa,Wheat Head Armyworm,Insecta
1449,Dasynini,,Insecta
1450,Dasynus,,Insecta
1451,Dasypus mexicanus,Mexican Long-nosed Armadillo,Mammalia
1452,Dasyscolia ciliata,,Insecta
1453,Dasysyrphus,,Insecta
1454,Dasytinae,,Insecta
1455,Datura,Devil's Trumpets,Plantae
1456,Datura stramonium,jimsonweed,Plantae
1457,Datura wrightii,Sacred Datura,Plantae
1458,Daucus carota,wild carrot,Plantae
1459,Decapoda,Decapods,Animalia
1460,Decaria,,Insecta
1461,Deinbollia oblongifolia,Dune soapberry,Plantae
1462,Dejeania bombylans,Bloated Hedgehog Fly,Insecta
1463,Delias descombesi,Red-spot Jezebel,Insecta
1464,Delias hyparete,Painted Jezebel,Insecta
1465,Delias pasithoe,Red-based Jezebel,Insecta
1466,Delphacidae,Delphacid Planthoppers,Insecta
1467,Delphinium,larkspurs,Plantae
1468,Delta esuriens,Okinawa Mud Wasp,Insecta
1469,Delta fenestrale,,Insecta
1470,Demanietta khirikhan,Prajuab Khirikhan Waterfall Crab,Animalia
1471,Dendrelaphis andamanensis,Andaman Bronzeback,Reptilia
1472,Dendrelaphis pictus,Painted Bronzeback,Reptilia
1473,Dendroaspis polylepis,Black Mamba,Reptilia
1474,Dendrocopos analis longipennis,,Aves
1475,Dendrocopos major,Great Spotted Woodpecker,Aves
1476,Dendronanthus indicus,Forest Wagtail,Aves
1477,Dendrophthoe falcata,leafy mistletoe,Plantae
1478,Dendropicos goertae,African Grey Woodpecker,Aves
1479,Dendropicos griseocephalus griseocephalus,Southern Olive Woodpecker,Aves
1480,Dendryphantina,,Arachnida
1481,Dendryphantini,,Arachnida
1482,Dennyus,,Insecta
1483,Dermaptera,Earwigs,Insecta
1484,Dermasterias imbricata,Leather Star,Animalia
1485,Dermatobia hominis,Human Botfly,Insecta
1486,Dermestes,Skin Beetles,Insecta
1487,Dermestes maculatus,Hide Beetle,Insecta
1488,Dermestes undulatus,,Insecta
1489,Deroceras,Smooth Land Slugs,Mollusca
1490,Deroceras reticulatum,Milky Slug,Mollusca
1491,Desarmillaria caespitosa,Ringless Honey Mushroom,Fungi
1492,Descurainia sophia,flixweed,Plantae
1493,Desmognathus monticola,Seal Salamander,Amphibia
1494,Desmometopa,,Insecta
1495,Deudorix antalus,Brown Playboy,Insecta
1496,Diabrotica barberi,northern corn rootworm,Insecta
1497,Diabrotica undecimpunctata,Spotted Cucumber Beetle,Insecta
1498,Diacamma,,Insecta
1499,Diadasia,,Insecta
1500,Diadasia australis,Cactus chimney bees,Insecta
1501,Diadasia diminuta,Globemallow chimney bees,Insecta
1502,Diadophis punctatus,Ring-necked Snake,Reptilia
1503,Dialictus,Metallic Sweat Bees,Insecta
1504,Dianthidium,,Insecta
1505,Diaphone,Cherry Spots,Insecta
1506,Diaphone eumela,Cherry Spot,Insecta
1507,Diaspididae,Armored Scale Insects,Insecta
1508,Diaulula sandiegensis,San Diego Dorid,Mollusca
1509,Dicaeum aureolimbatum aureolimbatum,,Aves
1510,Dicaeum cambodianum,Cambodian Flowerpecker,Aves
1511,Dicaeum nehrkorni,Crimson-crowned Flowerpecker,Aves
1512,Dicaeum trigonostigma,Orange-bellied Flowerpecker,Aves
1513,Dichaetomyia,,Insecta
1514,Dichanthelium clandestinum,deertongue,Plantae
1515,Dichomeris,,Insecta
1516,Dichrostachys cinerea,aroma,Plantae
1517,Dicladispa,,Insecta
1518,Dicliptera peduncularis,,Plantae
1519,Dicranocephalus schmitzi,,Insecta
1520,Dicrurus adsimilis adsimilis,Coastal Fork-tailed Drongo,Aves
1521,Dicrurus leucophaeus leucogenis,Ashy Drongo (White-cheeked),Aves
1522,Dictyna,,Arachnida
1523,Dictynidae,Meshweavers,Arachnida
1524,Dictyopharidae,Dictyopharid Planthoppers,Insecta
1525,Didelphis virginiana,Virginia Opossum,Mammalia
1526,Dieteria,tansyasters,Plantae
1527,Dieteria bigelovii,Bigelow's Tansyaster,Plantae
1528,Digitaria,"crabgrasses, cottontops, and allies",Plantae
1529,Diglossa lafresnayii,Glossy Flowerpiercer,Aves
1530,Dillenia suffruticosa,Simpoh Air,Plantae
1531,Dilophus,,Insecta
1532,Dinocampus coccinellae,Ladybird Parasitoid Wasp,Insecta
1533,Dinomyrmex gigas gigas,,Insecta
1534,Dinopium javanense,Common Flameback,Aves
1535,Dioctria hyalipennis,Stripe-legged Robber Fly,Insecta
1536,Dioctria linearis,,Insecta
1537,Diodontus,,Insecta
1538,Diogmites salutans,,Insecta
1539,Dione juno juno,,Insecta
1540,Dione vanillae,Gulf Fritillary,Insecta
1541,Dione vanillae insularis,Caribbean Gulf Fritillary,Insecta
1542,Dioprosopa clavata,Four-speckled Hover Fly,Insecta
1543,Diospyros,persimmons,Plantae
1544,Diospyros lotus,Date plum,Plantae
1545,Diospyros lycioides,Bluebush,Plantae
1546,Diospyros lycioides sericea,Hairy Bluebush,Plantae
1547,Diospyros senensis,spiny jackalberry,Plantae
1548,Diospyros texana,Texas Persimmon,Plantae
1549,Diospyros virginiana,American persimmon,Plantae
1550,Diplacodes lefebvrii,Black Percher,Insecta
1551,Diplacodes trivialis,Chalky Percher,Insecta
1552,Diplazontinae,Hover Fly Parasitoid Wasps,Insecta
1553,Diplognatha gagates,Large Black Nest Chafer,Insecta
1554,Diplognatha gagates silicea,Black Mirror Chafer,Insecta
1555,Diplorhynchus condylocarpon,wild-rubber,Plantae
1556,Diplotaxis tenuifolia,Perennial Wall-rocket,Plantae
1557,Dipodomys heermanni,Heermann's Kangaroo Rat,Mammalia
1558,Dipodomys ingens,Giant Kangaroo Rat,Mammalia
1559,Dipsacus fullonum,wild teasel,Plantae
1560,Diptera,Flies,Insecta
1561,Dirrhagofarsus,,Insecta
1562,Discurria insessa,Seaweed Limpet,Mollusca
1563,Disonycha discoidea,,Insecta
1564,Dispholidus typus typus,Common Boomslang,Reptilia
1565,Distephanus angulifolius,Trailing Bitter-tea,Plantae
1566,Distephanus inhacensis,Dune Bitter-tea,Plantae
1567,Dittrichia graveolens,Stinkwort,Plantae
1568,Dolba hyloeus,Pawpaw Sphinx,Insecta
1569,Dolerus,,Insecta
1570,Dolichoderus thoracicus,Cocoa Black Ant,Insecta
1571,Dolichos kilimandscharicus,,Plantae
1572,Dolichovespula arenaria,Common Aerial Yellowjacket,Insecta
1573,Dolichovespula maculata,Bald-faced Hornet,Insecta
1574,Dolichurus,,Insecta
1575,Dolomedes albineus,White-banded Fishing Spider,Arachnida
1576,Dolomedes mizhoanus,,Arachnida
1577,Dolomedes scriptus,Striped Fishing Spider,Arachnida
1578,Dolomedes triton,Six-spotted Fishing Spider,Arachnida
1579,Dolycoris baccarum,Sloe Bug,Insecta
1580,Dombeya burgessiae,Pink Dombeya,Plantae
1581,Donax canniformis,canna-leaf donax,Plantae
1582,Doris montereyensis,Monterey Dorid,Mollusca
1583,Dorosoma cepedianum,American Gizzard Shad,Actinopterygii
1584,Dothideomycetes,,Fungi
1585,Dothiorella,,Fungi
1586,Dovyalis afra,Kei-apple,Plantae
1587,Dovyalis zeyheri,Wild Apricot,Plantae
1588,Dracaena aletriformis,Large-leaved Dragon Tree,Plantae
1589,Draeculacephala,,Insecta
1590,Dreissena bugensis,Quagga Mussel,Mollusca
1591,Drilini,False Firefly Beetles,Insecta
1592,Drimia altissima,Tall Squill,Plantae
1593,Drimys winteri,Winter's Bark,Plantae
1594,Dromogomphus spinosus,Black-shouldered Spinyleg,Insecta
1595,Dromogomphus spoliatus,Flag-tailed Spinyleg,Insecta
1596,Drosera anglica,Great Sundew,Plantae
1597,Drosera madagascariensis,Madagascar Sundew,Plantae
1598,Drosera natalensis,Natal Sundew,Plantae
1599,Drosophila,Small Fruit Flies,Insecta
1600,Drosophila repleta,,Insecta
1601,Drosophilidae,Vinegar and Fruit Flies,Insecta
1602,Drosophilinae,,Insecta
1603,Dryas iulia,Julia Heliconian,Insecta
1604,Drymocallis,,Plantae
1605,Drymocallis fissa,Big-flower Cinquefoil,Plantae
1606,Dryobates pubescens,Downy Woodpecker,Aves
1607,Dryobates pubescens medianus,Northern Downy Woodpecker,Aves
1608,Dryocopus javensis feddeni,,Aves
1609,Dryocopus martius,Black Woodpecker,Aves
1610,Dryocopus pileatus,Pileated Woodpecker,Aves
1611,Dryopteris,wood ferns,Plantae
1612,Duberria lutrix lutrix,Southern Slugeater,Reptilia
1613,Duberria variegata,Spotted Slug-eater,Reptilia
1614,Ducula aenea,Green Imperial Pigeon,Aves
1615,Ducula bicolor bicolor,,Aves
1616,Dumetella carolinensis,Gray Catbird,Aves
1617,Dundubia vaginata vaginata,,Insecta
1618,Duplachionaspis,,Insecta
1619,Durium,,Insecta
1620,Duttaphrynus melanostictus,Asian Common Toad,Amphibia
1621,Dysdera crocata,Woodlouse Spider,Arachnida
1622,Dysdercus,Cotton Stainer Bugs,Insecta
1623,Dysmachus trigonus,fan-bristled robberfly,Insecta
1624,Dytiscinae,,Insecta
1625,Earias insulana,Egyptian Bollworm,Insecta
1626,Ebrechtella tricuspidata,Triangle Crab Spider,Arachnida
1627,Ecballium elaterium,squirting cucumber,Plantae
1628,Ecbolium glabratum,,Plantae
1629,Eccopsis incultana,,Insecta
1630,Eccritosia rubriventris,,Insecta
1631,Echinargus isola,Reakirt's Blue,Insecta
1632,Echinocystis lobata,wild cucumber,Plantae
1633,Echinophora spinosa,Spinose Pickling Herb,Plantae
1634,Echium,Viper's-buglosses,Plantae
1635,Ecteinascidia turbinata,Mangrove Tunicate,Animalia
1636,Ectemnius,,Insecta
1637,Ectophasia crassipennis,,Insecta
1638,Efferia,Hammertails,Insecta
1639,Efferia aestuans,Northeastern Hammertail,Insecta
1640,Efferia albibarbis,Sand Hammertail,Insecta
1641,Egernia kingii,King's Skink,Reptilia
1642,Egregia menziesii,Feather Boa Kelp,Chromista
1643,Egretta caerulea,Little Blue Heron,Aves
1644,Egretta eulophotes,Chinese Egret,Aves
1645,Egretta garzetta,Little Egret,Aves
1646,Egretta thula,Snowy Egret,Aves
1647,Egretta tricolor,Tricolored Heron,Aves
1648,Egybolis vaillantina,African Peach Moth,Insecta
1649,Ehretia obtusifolia,Glandular Puzzlebush,Plantae
1650,Eicochrysops messapus,Cupreous Blue,Insecta
1651,Eirenis collaris,Collared Dwarf Snake,Reptilia
1652,Elaeodendron croceum,Forest Saffron,Plantae
1653,Elaiophis inornatus,Olive House Snake,Reptilia
1654,Elanoides forficatus,Swallow-tailed Kite,Aves
1655,Elanus axillaris,Black-shouldered Kite,Aves
1656,Elanus leucurus,White-tailed Kite,Aves
1657,Elaphomyces,,Fungi
1658,Elasmostethus,,Insecta
1659,Elateridae,Click Beetles,Insecta
1660,Eleodes gracilis distans,,Insecta
1661,Elephas maximus indicus,Mainland Asian Elephant,Mammalia
1662,Elgaria multicarinata,Southern Alligator Lizard,Reptilia
1663,Elisolimax flavescens,African Banana Slug,Mollusca
1664,Ellimenistes,,Insecta
1665,Elops saurus,Ladyfish,Actinopterygii
1666,Elytraria acaulis,,Plantae
1667,Emberiza,Old World Buntings,Aves
1668,Emberiza aureola,Yellow-breasted Bunting,Aves
1669,Emberiza schoeniclus,Reed Bunting,Aves
1670,Embiotoca,,Actinopterygii
1671,Emblyna,,Arachnida
1672,Emerita analoga,Pacific Sand Crab,Animalia
1673,Emerita talpoida,Atlantic Sand Crab,Animalia
1674,Emesis russula,,Insecta
1675,Empidini,,Insecta
1676,Empusa fasciata,Fasciated Conehead Mantid,Insecta
1677,Emydidae,Pond and Box Turtles,Reptilia
1678,Enallagma,Bluets,Insecta
1679,Encyrtidae,,Insecta
1680,Encyrtinae,,Insecta
1681,Endeostigmata,Endeostigmatan Mites,Arachnida
1682,Endomychus coccineus,False Ladybird,Insecta
1683,Englerophytum magalismontanum,Stamvrug,Plantae
1684,Engraulis mordax,Northern Anchovy,Actinopterygii
1685,Enhydra lutris nereis,Southern Sea Otter,Mammalia
1686,Enicospilus glabratus,,Insecta
1687,Ennomini,,Insecta
1688,Enophrys bison,Buffalo Sculpin,Actinopterygii
1689,Enoplognatha ovata,Common candy-striped spider,Arachnida
1690,Ensifera,"Katydids, Crickets, and Allies",Insecta
1691,Entedoninae,,Insecta
1692,Entelegynae,Entelegyne Spiders,Arachnida
1693,Enteroctopus dofleini,Giant Pacific Octopus,Mollusca
1694,Entomobryoidea,,Animalia
1695,Entomobryomorpha,Elongate Springtails,Animalia
1696,Entomophthora,,Fungi
1697,Entomophthora muscae,Fly Death Fungi,Fungi
1698,Entylia carinata,Keeled Treehopper,Insecta
1699,Entypus unifasciatus,,Insecta
1700,Eocanthecona,,Insecta
1701,Eophona migratoria,Yellow-billed Grosbeak,Aves
1702,Epargyreus clarus,Silver-spotted Skipper,Insecta
1703,Epeolus,Cellophane-cuckoo Bees,Insecta
1704,Ephemera danica,European Green Drake,Insecta
1705,Ephemeroptera,Mayflies,Insecta
1706,Ephydrini,,Insecta
1707,Epidaus,,Insecta
1708,Epilachnini,Plant-eating Lady Beetles,Insecta
1709,Epinephelus labriformis,Starry Grouper,Actinopterygii
1710,Epinephelus marginatus,Dusky Grouper,Actinopterygii
1711,Epinotia tedella,Common Spruce Bell,Insecta
1712,Epirrhoe plebeculata,Orange-winged Carpet,Insecta
1713,Epischausia,,Insecta
1714,Episesarma chentongense,all-pink fingered vinegar crab,Animalia
1715,Episyrphus balteatus,Marmalade Hover Fly,Insecta
1716,Epitrix,Hairy Flea Beetles,Insecta
1717,Epitrix fuscula,Eggplant Flea Beetle,Insecta
1718,Epomophorus,Epauletted Fruit Bats,Mammalia
1719,Equus quagga burchellii,Burchell's Zebra,Mammalia
1720,Eratigena agrestis,Hobo Spider,Arachnida
1721,Eratigena inermis,,Arachnida
1722,Erebia aethiops,Scotch Argus,Insecta
1723,Erebidae,"Underwing, Tiger, Tussock, and Allied Moths",Insecta
1724,Eremnophila aureonotata,Gold-marked Thread-waisted Wasp,Insecta
1725,Eretmocera,,Insecta
1726,Erianthemum,,Plantae
1727,Erianthemum dregei,Silky matchflower,Plantae
1728,Erianthemum virescens,,Plantae
1729,Erianthus,Monkey Grasshoppers,Insecta
1730,Eriboea guderiana,Blue Spangled Prince,Insecta
1731,Ericameria nauseosa,Rubber Rabbitbrush,Plantae
1732,Erichsonella,,Animalia
1733,Erigeron,fleabanes and horseweeds,Plantae
1734,Erigeron canadensis,horseweed,Plantae
1735,Erigeron compositus,cut-leaf fleabane,Plantae
1736,Erigeron flagellaris,trailing fleabane,Plantae
1737,Erimyzon sucetta,Lake Chubsucker,Actinopterygii
1738,Erinaceus europaeus,Common Hedgehog,Mammalia
1739,Eriocephalus ericoides,Heath Kapok,Plantae
1740,Eriogonum fasciculatum,California Buckwheat,Plantae
1741,Eriogonum ovalifolium purpureum,purple cushion wild buckwheat,Plantae
1742,Eriogonum pyrolifolium pyrolifolium,pyrola-leaved buckwheat,Plantae
1743,Eriogonum umbellatum,sulfur buckwheat,Plantae
1744,Eriophora,,Arachnida
1745,Eriophora edax,,Arachnida
1746,Eriophora ravilla,Tropical Orbweaver,Arachnida
1747,Eriophyes inermae,White Milkwood Gall Mite,Arachnida
1748,Eriophyes laevis,Alder Leaf Gall Mite,Arachnida
1749,Eriophyidae,Gall and Rust Mites,Arachnida
1750,Eriophyinae,,Arachnida
1751,Eriophyllum confertiflorum,Golden Yarrow,Plantae
1752,Eriosema pauciflorum,,Plantae
1753,Eriosema psoraleoides,Yellowseed Eriosema,Plantae
1754,Eris militaris,Bronze Jumping Spider,Arachnida
1755,Eristalinae,Drone Flies and Allies,Insecta
1756,Eristalinus,Lagoon Flies,Insecta
1757,Eristalinus barclayi,,Insecta
1758,Eristalinus quinquelineatus,,Insecta
1759,Eristalinus taeniops,Stripe-eyed Lagoon Fly,Insecta
1760,Eristalis anthophorina,Orange-spotted Drone Fly,Insecta
1761,Eristalis arbustorum,Eurasian Drone Fly,Insecta
1762,Eristalis dimidiata,Black-shouldered Drone Fly,Insecta
1763,Eristalis pertinax,Tapered Drone Fly,Insecta
1764,Eristalis stipator,Yellow-shouldered Drone Fly,Insecta
1765,Eristalis tenax,Common Drone Fly,Insecta
1766,Eristalis transversa,Transverse-banded Flower Fly,Insecta
1767,Eristalodes,Stripe-eyed Lagoon Flies,Insecta
1768,Erithacus rubecula,European Robin,Aves
1769,Erodium botrys,Mediterranean Stork's-bill,Plantae
1770,Erotylinae,,Insecta
1771,Erpornis zantholeuca interposita,,Aves
1772,Erynnis funeralis,Funereal Duskywing,Insecta
1773,Erynnis juvenalis,Juvenal's Duskywing,Insecta
1774,Erynnis zarucco,Zarucco Duskywing,Insecta
1775,Erysimum capitatum,Western Wallflower,Plantae
1776,Erysiphaceae,Powdery Mildews,Fungi
1777,Erysiphe australiana,Crape Myrtle Mildew,Fungi
1778,Erythemis collocata,Western Pondhawk,Insecta
1779,Erythemis simplicicollis,Eastern Pondhawk,Insecta
1780,Erythrina,Coral trees,Plantae
1781,Erythrina afra,South African Coral Tree,Plantae
1782,Erythrina latissima,Broadleaf Coraltree,Plantae
1783,Erythrina lysistemon,Common Coral Tree,Plantae
1784,Erythrodiplax berenice,Seaside Dragonlet,Insecta
1785,Erythrodiplax umbrata,Band-winged Dragonlet,Insecta
1786,Erythrolamprus miliaris,Military Ground Snake,Reptilia
1787,Erythrolamprus reginae,Royal Ground Snake,Reptilia
1788,Erythrolamprus viridis,Crown Ground Snake,Reptilia
1789,Erythrura prasina prasina,,Aves
1790,Eschscholzia californica,California poppy,Plantae
1791,Esox lucius,Northern Pike,Actinopterygii
1792,Estigmene acrea,Salt Marsh Moth,Insecta
1793,Estigmene trivitta,Three-striped Ermine,Insecta
1794,Estrilda astrild tenebridorsa,Bushveld Common Waxbill,Aves
1795,Euagoras plagiatus,,Insecta
1796,Euborellia annulipes,Ring-legged Earwig,Insecta
1797,Eucalyptus viminalis,manna gum,Plantae
1798,Eucera,,Insecta
1799,Euchaetes egle,Milkweed Tussock Moth,Insecta
1800,Euchromia amoena,Pleasant Hornet Moth,Insecta
1801,Euchromia elegantissima,,Insecta
1802,Euchrysops malathana,Common Smoky Blue,Insecta
1803,Euclea daphnoides,White-Stem Guarri,Plantae
1804,Euclea natalensis,Mountain Guarri,Plantae
1805,Eudasyphora,,Insecta
1806,Eudioctria,,Insecta
1807,Eudocima divitiosa,,Insecta
1808,Eudocimus albus,White Ibis,Aves
1809,Eudonia angustea,Narrow-winged Grey,Insecta
1810,Eugenia,,Plantae
1811,Eugenia capensis,dune myrtle,Plantae
1812,Eugenia malangensis,,Plantae
1813,Euglandina rosea,Rosy Wolfsnail,Mollusca
1814,Euglossa dilemma,Dilemma Orchid Bee,Insecta
1815,Euheterodonta,,Mollusca
1816,Eulaema polychroma,,Insecta
1817,Eulipotyphla,"Shrews, Moles, Hedgehogs, and Allies",Mammalia
1818,Eulophia speciosa,Golden Harlequin,Plantae
1819,Eulophia subsaprophytica,,Plantae
1820,Eulophidae,,Insecta
1821,Eulophinae,,Insecta
1822,Eumaeus atala,Atala,Insecta
1823,Eumenes fraternus,Fraternal Potter Wasp,Insecta
1824,Eumenes mediterraneus,Mediterranean Potter Wasp,Insecta
1825,Eumeta,,Insecta
1826,Eumeta hardenbergi,,Insecta
1827,Eumetopias jubatus,Steller Sea Lion,Mammalia
1828,Eumolpinae,,Insecta
1829,Eumorpha fasciatus,Banded Sphinx,Insecta
1830,Eunectes murinus,Green Anaconda,Reptilia
1831,Euodynerus pratensis,,Insecta
1832,Eupanacra splendens,,Insecta
1833,Euparius marmoreus,Marbled Fungus Weevil,Insecta
1834,Eupatorieae,"bonesets, blazingstars, and allies",Plantae
1835,Eupeodes,Aphideaters,Insecta
1836,Eupeodes americanus,Long-tailed Aphideater Complex,Insecta
1837,Eupeodes fumipennis,Western Aphideater,Insecta
1838,Euphagus cyanocephalus,Brewer's Blackbird,Aves
1839,Euphorbia dulcis,Sweet Spurge,Plantae
1840,Euphorbia graminea,Grassleaf Spurge,Plantae
1841,Euphorbia lignosa,Spike Milkbush,Plantae
1842,Euphorbia tirucalli,Fire Stick,Plantae
1843,Euphoria inda,Bumble Flower Beetle,Insecta
1844,Euphydryas,,Insecta
1845,Euphydryas anicia,Anicia Checkerspot,Insecta
1846,Euphydryas chalcedona,Variable Checkerspot,Insecta
1847,Euplectes axillaris axillaris,Grassveld Fantail Widowbird,Aves
1848,Euplectrus,,Insecta
1849,Euploea mulciber,Striped Blue Crow,Insecta
1850,Euproctis,,Insecta
1851,Euproctis aethiopica,African Euproctis,Insecta
1852,Euproctis straminicolor,Bicoloured Euproctis,Insecta
