videoID,video_channel,nodeTime
Ca-_YRiRsBk,Vesti News,2018-04-23 15:34:11
DFesE0q2-_I,Gordon Dimmack,2018-04-23 19:59:27
3qqZPRFfGwg,World Affairs,2018-04-25 23:52:32
w-HW7O-RYb4,Tell The Truth,2018-04-26 09:32:33
V3ij6yarUUU,Ruptly,2018-04-26 22:41:48
rWdzwKp6RHw,RT UK,2018-04-27 10:31:53
-ilNuSh1Fgw,Edu e Renan,2018-04-27 18:01:47
IamcFOosbGA,Eva K Bartlett,2018-04-28 09:08:41
p3dYi8GV3Ts,Russian Embassy in Malta,2018-04-28 16:13:20
kcYUShwfQfs,الدفاع المدني السوري حماة,2018-04-29 17:19:26
0SdJhPwtKq8,Gordon Dimmack,2018-05-02 13:34:14
0EXtHoOi7_4,Ben Swann,2018-05-03 18:30:02
vpjO6yDglNs,RT America,2018-05-04 00:54:05
ktEJ_s9rhp0,CBS News,2018-05-04 15:32:16
lWYMsDc-30w,Nizar Abboud,2018-05-04 18:22:08
ghTb4kXaNTI,Step News Agency,2018-05-04 18:34:45
JifBie5ZuuA,Drago Victorien,2018-05-04 18:56:43
_cN53pq82J0,RT Arabic,2018-05-04 19:31:29
Ed-__3Vl_aY,Eva K Bartlett,2018-05-04 20:16:58
N2JgopKUr7I,RT,2018-05-04 20:51:31
w1USXt7xS5k,Jamarl Thomas,2018-05-04 21:12:14
pjojUt540Mo,Lift the Veil,2018-05-04 21:39:48
ldQSXHlUJmM,ZGoldenReport,2018-05-04 21:52:08
vv9ZkFwx11s,RT America,2018-05-05 00:21:00
rQZwu_ccOhc,The Outer Light,2018-05-05 01:13:20
qMpJT2f5Xc8,CBS News,2018-05-05 01:42:01
cKylUtWMLGM,The Last American Vagabond,2018-05-05 17:23:06
JkqlEYvFVB8,تلفزيون أورينت Orient TV,2018-05-06 07:46:59
rd5VZDAWDhw,vanessa beeley,2018-05-06 09:40:12
vFyqYmWb7h0,vanessa beeley,2018-05-06 15:31:39
Q-UD2kmn7J0,Fault Lines Radio,2018-05-07 14:35:14
65iSdP1NGD4,One America News Network,2018-05-07 15:52:53
rmiEyZ9anLQ,vanessa beeley,2018-05-08 09:18:51
NjWvUHAnwWo,vanessa beeley,2018-05-08 09:42:56
Qm3jlUy_EdI,Ben Swann,2018-05-08 18:30:00
bdPLERJjTZ0,RT UK,2018-05-09 12:49:46
E_LNnist2Rk,goingundergroundRT,2018-05-09 13:03:51
BBLSqpP11O8,RT,2018-05-10 14:29:01
kz2XnwSzGXY,RT,2018-05-12 05:15:07
ruHauFmqEn0,vanessa beeley,2018-05-12 08:00:21
BSrGuEmf4f0,goingundergroundRT,2018-05-12 11:32:06
HYWDhpqOmd8,Nikolay Mihov,2018-05-13 08:18:42
su2H0CJ60Oo,antikriegTV,2018-05-13 19:37:08
T_uY9eMm2qM,SoulJa Of GOD,2018-05-13 20:38:43
_r4ZxCl1tSE,The Last American Vagabond,2018-05-15 04:57:26
NWxo5W8pJLY,RT Deutsch,2018-05-15 11:37:07
2YAbkr3R-yU,TheCable,2018-05-19 21:27:12
SkFYz57co8o,vanessa beeley,2018-05-22 16:03:20
DoTiq6qiQMI,Eva K Bartlett,2018-05-22 20:11:43
p3BfAy6QrqY,الدفاع المدني السوري في محافظة ادلب,2018-05-23 09:16:54
yEAdy2lDk_w,vanessa beeley,2018-05-23 15:18:44
nKFuYRWPh4g,InfoStrike,2018-05-24 19:26:20
UoexAWWfbRU,Defenders of the Syrian Arab Republic,2018-05-25 10:36:54
oPyIPPiKxQk,Eva K Bartlett,2018-05-25 15:50:33
wx3I8S9ih1M,Eva K Bartlett,2018-05-26 01:32:37
WOfmK-5CKYg,Al Aan TV تلفزيون الآن,2018-05-26 18:26:29
DTzwn5RBxD4,Eva K Bartlett,2018-05-27 21:45:27
dSG0sZSuanA,vanessa beeley,2018-05-29 12:33:47
HkHb0E3I80I,The Jimmy Dore Show,2018-05-30 08:55:41
pEs3gfn-bkY,الدفاع المدني السوري في محافظة ادلب,2018-06-03 09:12:44
qFfGmTgaa0M,The Last American Vagabond,2018-06-15 01:32:18
37HYNZwgDjk,الدفاع المدني السوري في محافظة ادلب,2018-06-15 07:16:15
O31d9cRuKtE,One America News Network,2018-06-15 15:35:49
oUaukelti6o,RT,2018-06-15 20:11:49
D5REVTpNTPg,RT America,2018-06-15 23:09:18
